,tag,sample.number,partner.sample,substrate,site,species,rh,dbh,growth.per.yr,elevation,latitude,longitude,L.C,L.N,L.P,K.P,L.S,L.Ca,L.Mg,L.Mn,L.Cu,L.Zn,L.B,L.Mo,L.Na,L.Fe,moist,rocks,C,N,OM.new,CN.ratio,NO3,pH,P,K,Mn,Cu,Zn,Fe,B,Ca,Mg,CEC
A7,3021,291,27,soil,rs01,psme,58,18.2,0.180024644,510,44.202,122.257,na,na,0.279189189,0.139189189,na,0.644594595,0.15027027,378.3783784,8.108108108,8.108108108,0,na,335.1351351,183.7837838,78.21782178,44.88672596,13.203,0.444,26.406,29.73648649,1.287686515,5.04,28.72727273,120.9090909,117.8181818,1,2.272727273,206.2727273,1.548387097,10.34045455,1.361363636,12.01184149
B1,4564,208,104,soil,rs01,tshe,58,26.7,0.475963173,510,44.202,122.257,46.502,0.888,0.169686747,0.202843373,0.117,0.617493976,0.161060241,642.8915663,5.301204819,6.265060241,10.60240964,na,103.6144578,26.02409639,77.41935484,29.00516243,19.223,0.414,38.446,46.43236715,2.953657428,5.62,40.4,98.4,121.3,1,3,205.7,1.227436823,5.536,0.834166667,6.622474359
B3,4560,232,97,soil,rs01,tshe,58,33,0.393186969,510,44.202,122.257,46.158,1.105,0.262323084,0.342898975,0.145,0.755880918,0.164324061,694.9731576,5.368472426,6.832601269,15.12933138,na,89.79990239,40.50756467,169.2307692,54.90242103,32.012,0.747,64.024,42.854083,2.388949079,5.25,40.43478261,141.1304348,152.173913,1.391304348,4.956521739,170.0869565,2.5,7.576956522,1.087681159,9.026510591
B4,4625,246,101,soil,rs01,tabr,58,9.5,0.062082153,510,44.202,122.257,48.665,0.902,0.089478718,0.038402678,0.091,0.529124821,0.147871832,188.4265901,3.825920612,19.60784314,4.304160689,na,58.34528934,28.69440459,40.18691589,26.32839074,10.962,0.347,21.924,31.5907781,0.15740988,6.38,37.42857143,102,66.0952381,0.666666667,1.428571429,172.7619048,1.15942029,5.40952381,0.728571429,6.3996337
B6,4472,262,59,soil,rs01,tshe,58,21.5,0.34004655,510,44.202,122.257,47.352,0.85,0.134253092,0.164795433,0.099,0.376165557,0.080970504,557.0884872,2.854424358,2.854424358,10.94196004,0.475737393,61.84586108,44.24357755,133.5025381,43.56665776,32.758,0.77,65.516,42.54285714,0.163780653,5.65,42.2,135.1,109.2,0.7,2.1,206,2.477876106,6.0635,1.001666667,7.411576923
B7,4476,290,56,soil,rs01,psme,58,28.7,0.540073932,510,44.202,122.257,45.27,0.858,0.149712644,0.226915709,0.166,0.544971264,0.074952107,336.6858238,4.310344828,9.578544061,20.59386973,0.478927203,70.88122605,46.9348659,94.96855346,50.76878517,18.296,0.486,36.592,37.64609053,1.787669413,6.11,49.4,125.7,136.2,1.2,2.5,223.4,1.463414634,7.3295,1.044166667,8.695974359
C1,4635,207,75,soil,rs01,tshe,58,19.6,0.186246459,510,44.202,122.257,46.973,0.882,0.214877227,0.302936928,0,0.51535869,0.12185845,485.3153587,5.777563794,7.221954742,13.48098219,0.481463649,102.5517573,57.29417429,113.1578947,11.97875776,22.11,0.602,44.22,36.72757475,2.708881579,5.5,59.3,110.1,92.7,0.9,3.3,203,1.509433962,6.102,1.015,7.399307692
D3,4478,226,6,soil,rs01,tabr,58,22.8,0.120016429,510,44.202,122.257,na,na,0.121830986,0.02693662,na,0.579401408,0.119542254,258.8028169,8.802816901,24.64788732,14.08450704,1.76056338,267.6056338,114.4366197,63.33333333,45.95954331,11.374,0.346,22.748,32.87283237,0.418225352,5.92,34,83.42857143,108.8571429,0.666666667,1.523809524,187.4285714,0.981595092,6.924761905,0.923015873,8.061697192
E5,491,251,105,soil,rs01,tabr,58,16.7,0.200027382,510,44.202,122.257,48.097,1.021,0.100527325,0.076797699,0.103,0.506040268,0.091227229,302.4928092,3.355704698,21.57238734,6.711409396,na,34.51581975,29.7219559,59.76331361,28.58001132,20.485,0.53,40.97,38.6509434,0.07805579,6.28,48.26086957,101.9130435,71.2173913,0.956521739,1.47826087,205.9130435,1.186440678,5.921304348,0.850724638,7.033344482
F4,4499,242,115,soil,rs01,tabr,58,34.8,0.120016429,510,44.202,122.257,48.416,0.965,0.098300146,0.301311316,0.105,0.532297232,0.094997572,368.1398737,2.91403594,22.82661486,7.770762506,na,53.90966489,49.53861098,116,59.26186047,23.297,0.624,46.594,37.3349359,1.058704225,6.35,59.1,152.2,215.7,1.7,7,240,2.068965517,10.8805,1.048333333,12.31908974
F8,497,294,24,soil,rs01,psme,58,11.5,0.200027382,510,44.202,122.257,47.409,0.83,0.168402778,0.192361111,0.105,0.58859127,0.089930556,361.1111111,2.976190476,7.936507937,10.41666667,0.496031746,68.9484127,57.04365079,85.32818533,76.34766719,13.855,0.55,27.71,25.19090909,1.23110866,4.62,47.3,122.9,413,1.1,11.7,207.3,1.268292683,4.091,0.67,5.076128205
H5,315,248,87,soil,rs01,tabr,58,29.2,-0.660090361,510,44.202,122.257,48.235,0.862,0.082233251,0.014441687,0.097,0.529181141,0.158064516,116.6253102,4.466501241,15.8808933,9.429280397,0.496277916,51.61290323,55.08684864,47.45308311,48.89858121,9.62,0.213,19.24,45.16431925,0.294484872,6.28,33.63636364,106.6363636,81.18181818,0.727272727,1.727272727,201.3636364,1.772151899,5.737727273,0.877272727,6.888426573
Needles-A6,315,87,248,needle,rs01,tabr,58,29.2,-0.660090361,510,44.202,122.257,48.235,0.862,0.082233251,0.014441687,0.097,0.529181141,0.158064516,116.6253102,4.466501241,15.8808933,9.429280397,0.496277916,51.61290323,55.08684864,47.45308311,48.89858121,9.62,0.213,19.24,45.16431925,0.294484872,6.28,33.63636364,106.6363636,81.18181818,0.727272727,1.727272727,201.3636364,1.772151899,5.737727273,0.877272727,6.888426573
Needles-B2,3021,27,291,needle,rs01,psme,58,18.2,0.180024644,510,44.202,122.257,na,na,0.279189189,0.139189189,na,0.644594595,0.15027027,378.3783784,8.108108108,8.108108108,0,na,335.1351351,183.7837838,78.21782178,44.88672596,13.203,0.444,26.406,29.73648649,1.287686515,5.04,28.72727273,120.9090909,117.8181818,1,2.272727273,206.2727273,1.548387097,10.34045455,1.361363636,12.01184149
Needles-B4,4476,56,290,needle,rs01,psme,58,28.7,0.540073932,510,44.202,122.257,45.27,0.858,0.149712644,0.226915709,0.166,0.544971264,0.074952107,336.6858238,4.310344828,9.578544061,20.59386973,0.478927203,70.88122605,46.9348659,94.96855346,50.76878517,18.296,0.486,36.592,37.64609053,1.787669413,6.11,49.4,125.7,136.2,1.2,2.5,223.4,1.463414634,7.3295,1.044166667,8.695974359
Needles-B5,4635,75,207,needle,rs01,tshe,58,19.6,0.186246459,510,44.202,122.257,46.973,0.882,0.214877227,0.302936928,0,0.51535869,0.12185845,485.3153587,5.777563794,7.221954742,13.48098219,0.481463649,102.5517573,57.29417429,113.1578947,11.97875776,22.11,0.602,44.22,36.72757475,2.708881579,5.5,59.3,110.1,92.7,0.9,3.3,203,1.509433962,6.102,1.015,7.399307692
Needles-B7,4560,97,232,needle,rs01,tshe,58,33,0.393186969,510,44.202,122.257,46.158,1.105,0.262323084,0.342898975,0.145,0.755880918,0.164324061,694.9731576,5.368472426,6.832601269,15.12933138,na,89.79990239,40.50756467,169.2307692,54.90242103,32.012,0.747,64.024,42.854083,2.388949079,5.25,40.43478261,141.1304348,152.173913,1.391304348,4.956521739,170.0869565,2.5,7.576956522,1.087681159,9.026510591
Needles-C8,1421,106,245,needle,rs01,tshe,58,NA,NA,510,44.202,122.257,46.812,0.832,0.169727047,0.189727047,0.098,0.52382134,0.135583127,565.7568238,3.473945409,4.962779156,17.36972705,na,58.56079404,21.33995037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Needles-D1,4060,11,263,needle,rs01,tshe,58,NA,NA,510,44.202,122.257,47.541,0.905,0.119103314,0.161695906,0.101,0.545224172,0.108966862,303.6062378,4.873294347,8.771929825,13.64522417,0.487329435,100.877193,46.78362573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
